Interface-ID;IU-105;IU-106;IU-168;IU-370;IU-371;IU-374;IU-375;IU-508;Usability Indicator
218;0;0;0;0;0;0;0;0;negative
219;0;0;2;0;0;0;2;0;negative
220;0;1;2;0;0;0;0;0;negative
221;0;1;0;0;1;1;1;0;positive
222;0;1;0;0;0;2;0;1;negative
223;1;1;0;0;0;0;1;1;positive
224;1;0;0;2;0;0;0;1;negative
225;1;1;0;0;1;1;0;0;positive
226;1;1;0;0;0;0;0;0;negative
227;2;2;2;2;0;2;0;0;negative
228;0;1;0;0;0;0;0;0;negative
229;2;0;2;2;2;2;0;2;negative
230;0;0;0;0;0;0;0;0;negative
231;0;2;0;0;2;2;2;0;negative
232;0;0;0;2;0;0;0;0;negative
233;1;1;0;0;0;0;0;0;negative
234;1;1;0;1;1;0;0;0;positive
235;1;1;0;0;0;0;0;0;negative
236;0;1;0;1;0;0;0;0;negative
237;0;0;0;0;0;0;0;0;negative
238;0;0;0;0;2;0;0;0;negative
239;0;0;0;2;0;2;0;2;negative
240;0;0;0;0;0;2;0;0;negative
241;0;1;0;0;0;0;0;0;negative
242;0;1;0;1;0;1;0;0;negative
243;0;1;0;0;0;0;0;1;negative
244;0;1;0;0;0;0;1;0;negative
245;0;1;0;0;0;0;0;0;negative
246;0;1;0;0;0;0;0;0;negative
247;2;0;2;2;0;2;0;0;negative
248;1;1;0;0;0;0;0;0;negative
249;1;1;0;0;0;0;0;0;negative
250;1;1;0;0;0;0;0;0;negative
251;0;2;2;0;0;2;0;0;negative
252;1;0;0;0;0;0;0;0;negative
253;1;0;0;0;0;0;0;0;negative
254;0;0;2;2;0;0;0;0;negative
255;0;0;0;0;2;0;0;0;negative
256;1;1;0;1;2;0;0;0;negative
257;1;1;0;0;0;0;0;0;negative
258;1;1;0;0;0;0;0;1;negative
259;0;1;0;0;0;0;0;0;negative
260;2;2;0;0;2;2;0;0;negative
261;0;0;0;0;0;0;0;0;negative
262;0;1;0;0;0;0;0;0;negative
263;0;0;0;2;0;2;2;0;negative
264;0;1;0;0;0;0;0;0;negative
265;0;1;0;0;0;0;0;0;negative
266;0;1;0;0;0;0;0;0;negative
267;1;1;0;0;0;0;0;0;negative
268;1;1;0;0;0;0;0;0;negative
269;0;1;0;0;0;0;0;0;negative
270;0;0;0;2;0;0;2;0;negative
271;0;0;0;2;2;0;0;0;negative
272;1;1;0;0;0;0;0;0;negative
273;1;1;0;0;0;0;0;0;negative
274;1;1;0;0;2;0;0;0;negative
275;1;1;0;0;0;0;0;1;negative
276;1;1;0;0;0;0;0;0;negative
277;0;0;0;0;0;0;1;0;negative
278;0;0;0;1;0;0;0;0;negative
279;0;1;0;0;0;0;0;0;negative
280;0;1;0;0;2;2;0;0;negative
281;1;1;0;0;0;0;0;0;negative
282;0;1;0;0;0;0;0;0;negative
283;0;0;2;0;0;0;0;0;negative
284;0;0;0;2;0;0;0;0;negative
285;1;0;0;0;0;0;0;0;negative
286;1;0;0;0;0;0;0;0;negative
287;0;0;2;2;2;2;0;0;negative
288;2;0;2;0;0;0;2;0;negative
289;0;0;0;0;0;0;0;1;negative
290;2;0;0;0;2;0;0;0;negative
291;0;1;0;0;0;0;0;0;negative
292;0;1;0;0;0;0;0;0;negative
293;0;1;0;0;0;0;0;0;negative
294;0;0;0;0;2;0;0;0;negative
295;0;0;0;0;0;0;0;0;negative
296;0;0;0;0;2;0;0;0;negative
297;0;0;0;1;0;0;0;0;negative
298;1;0;0;0;0;0;0;0;negative
299;1;0;0;0;0;0;0;0;negative
300;0;2;0;0;0;0;0;0;negative
301;0;0;0;0;2;0;0;0;negative
302;1;0;0;0;0;0;0;0;negative
303;0;0;2;0;0;2;0;0;negative
304;1;0;0;0;0;0;1;1;negative
305;0;1;0;0;0;0;0;0;negative
306;0;1;0;0;0;0;0;0;negative
307;1;1;0;0;0;0;0;0;negative
308;0;0;0;0;0;0;0;0;negative
309;0;0;2;0;2;2;0;0;negative
310;1;1;0;0;0;0;0;0;negative
311;0;1;0;0;0;0;0;0;negative
312;0;1;0;0;0;0;0;0;negative
313;1;1;0;0;0;0;1;0;negative
314;1;0;0;0;0;0;0;0;negative
315;0;0;2;0;0;2;0;0;negative
316;1;0;0;0;0;0;0;0;negative
317;0;0;2;2;0;2;0;0;negative
318;0;0;0;0;0;0;0;0;negative
319;0;0;0;0;0;0;0;1;negative
320;0;1;0;0;0;0;0;0;negative
321;1;1;0;0;0;0;0;0;negative
322;0;1;0;0;0;0;0;0;negative
323;1;0;2;0;0;0;0;0;negative
324;1;0;0;0;0;0;0;0;negative
325;1;0;0;0;0;0;0;0;negative
326;1;1;2;0;2;0;0;0;negative
327;1;1;0;1;0;0;0;0;negative
328;0;1;0;0;0;0;0;0;negative
329;0;1;0;0;0;0;2;0;negative
330;2;2;2;0;2;0;0;0;negative
331;2;2;2;0;0;0;0;0;negative
332;0;1;0;0;1;0;0;0;negative
333;0;1;0;0;0;0;0;0;negative
334;0;1;0;0;0;0;0;0;negative
335;0;2;0;0;0;0;0;0;negative
336;0;1;0;0;0;0;0;0;negative
337;0;1;0;0;0;0;0;0;negative
338;1;1;2;2;0;2;0;0;negative
339;1;1;0;0;0;0;0;0;negative
340;1;1;0;2;0;2;0;1;negative
341;0;1;0;0;0;0;0;0;negative
342;2;2;2;0;2;2;0;0;negative
343;0;1;0;0;0;0;0;0;negative
344;1;1;0;0;0;0;0;0;negative
345;2;1;0;0;2;0;0;0;negative
346;1;1;0;0;0;0;0;0;negative
347;1;0;0;0;1;0;0;0;negative
348;1;1;0;2;0;0;0;0;negative
349;1;1;0;0;0;0;0;0;negative
350;0;1;0;2;2;0;0;0;negative
351;1;1;0;0;0;0;0;0;negative
352;0;1;0;2;2;0;0;0;negative
353;0;1;0;0;0;0;0;1;negative
354;0;0;0;0;0;0;0;0;negative
355;0;0;0;2;0;0;0;0;negative
356;0;0;0;0;0;0;0;0;negative
357;1;1;0;0;0;0;0;0;negative
358;0;1;0;0;0;0;0;0;negative
359;0;1;0;0;0;0;0;0;negative
360;0;1;0;0;0;0;0;0;negative
361;1;1;0;0;0;0;0;0;negative
362;0;0;0;2;0;0;0;0;negative
363;0;1;0;0;0;0;0;0;negative
364;0;1;0;0;0;0;0;0;negative
365;0;1;0;0;0;0;0;0;negative
366;0;1;0;0;1;0;0;0;negative
367;0;1;0;0;0;0;0;0;negative
368;0;0;0;0;0;0;0;1;negative
369;2;2;2;2;0;0;2;0;negative
370;2;0;0;0;0;0;0;0;negative
371;0;2;0;0;0;0;0;0;negative
372;1;0;0;0;0;0;0;0;negative
373;1;1;0;0;0;0;0;0;negative
374;1;0;0;0;0;0;0;0;negative
375;1;0;0;0;0;0;0;0;negative
