Interface,UI-317,UI-318,UI-323,UI-324,UI-346,Usability Indicator
427,0,1,0,1,1,negative
428,1,0,0,1,1,positive
429,1,1,0,1,1,negative
430,0,1,0,1,1,positive
431,1,1,0,1,0,positive
432,1,1,0,1,1,negative
433,1,1,0,1,0,negative
434,1,1,0,1,0,negative
435,1,0,0,1,1,negative
436,0,1,0,1,1,negative
437,1,1,0,1,1,positive
438,0,1,0,1,1,negative
439,1,1,0,1,1,positive
440,1,1,0,1,0,negative
441,1,1,0,1,1,positive
442,1,0,0,1,1,negative
443,1,1,0,1,1,positive
444,1,1,0,1,1,negative
445,1,1,0,1,1,positive
446,1,1,0,1,0,negative
447,1,0,0,1,1,positive
448,1,1,0,1,0,negative
449,1,1,0,1,0,negative
450,1,1,0,1,0,negative
451,0,1,0,1,1,negative
452,1,0,0,1,1,positive
453,1,0,0,1,1,negative
454,1,1,0,1,0,negative
455,1,0,0,1,1,negative
456,0,1,0,1,1,negative
457,0,1,0,1,1,negative
458,0,1,0,1,1,positive
459,1,0,0,1,1,positive
460,1,1,0,1,0,negative
461,1,0,0,1,1,negative
462,1,1,0,1,1,negative
463,1,1,0,1,0,negative
464,1,1,0,1,1,negative
465,1,1,0,1,1,negative
466,1,0,0,1,1,negative
467,1,1,0,1,1,negative
468,1,0,0,1,1,negative
469,1,1,0,1,1,positive
470,1,0,0,1,1,positive
471,1,0,0,1,1,negative
472,0,1,0,1,1,negative
473,0,1,0,1,1,negative
474,1,1,0,1,1,negative
475,1,0,0,1,1,positive
476,1,1,0,1,0,negative
477,1,1,0,1,1,negative
478,1,1,0,1,1,positive
479,1,1,0,1,1,negative
480,1,1,0,1,1,negative
481,1,1,0,1,0,negative
482,1,1,0,1,0,negative
483,1,1,0,1,1,negative
484,1,1,0,1,1,negative
485,1,1,0,1,1,positive
486,1,0,0,1,1,positive
487,1,0,0,1,1,negative
488,1,1,0,1,0,negative
489,1,1,0,1,0,negative
490,1,0,0,1,1,negative
491,1,0,0,1,1,negative
492,1,1,0,1,1,negative
493,1,1,0,1,1,positive
494,1,0,0,1,1,positive
495,0,1,0,1,1,positive
496,1,0,0,1,1,positive
497,1,1,0,1,1,negative
498,1,1,0,1,0,negative
499,1,1,0,1,1,negative
500,1,0,0,1,1,negative
501,1,1,0,1,0,positive
502,1,1,0,1,0,negative
503,0,1,0,1,1,negative
504,0,1,0,1,1,negative
505,1,1,0,1,1,negative
506,1,0,0,1,1,negative
507,1,1,0,1,0,negative
508,1,1,0,1,0,negative
509,1,1,0,1,1,negative
510,0,1,0,1,0,negative
511,1,1,0,1,0,negative
512,1,1,0,1,1,positive
513,1,0,0,1,1,positive
514,1,1,0,1,1,positive
515,1,1,0,1,0,negative
516,1,1,0,1,1,negative
517,1,1,0,1,1,positive
518,1,0,0,1,1,positive
519,1,0,0,1,1,negative
520,1,1,0,1,1,negative
521,0,1,0,1,1,positive
522,1,1,0,1,1,positive
523,1,1,0,1,1,negative
524,1,1,0,1,1,positive
525,1,0,0,1,1,positive
526,1,1,0,1,0,negative
527,1,1,0,1,0,negative
528,1,1,0,1,1,negative
529,1,0,0,1,1,negative
530,1,0,0,1,1,negative
531,1,1,0,1,0,positive
532,1,1,0,1,0,negative
533,1,0,0,1,1,negative
534,1,0,0,1,1,negative
535,1,0,0,1,1,negative
536,0,1,0,1,1,negative
537,0,1,0,1,1,negative
538,1,1,0,1,1,positive
539,0,1,0,1,1,positive
540,1,1,0,1,0,negative
541,0,1,0,1,0,negative
542,1,1,0,1,0,negative
543,0,1,0,1,0,negative
544,1,0,0,1,1,negative
545,1,1,0,1,0,negative
546,1,1,0,1,1,negative
547,1,1,0,1,1,negative
548,0,1,0,1,0,negative
549,1,0,0,1,1,negative
550,1,1,0,1,1,positive
551,1,1,0,1,1,negative
552,0,1,0,1,1,negative
553,1,0,0,1,1,negative
554,1,1,0,1,0,negative
555,1,1,0,1,1,negative
556,1,1,0,1,0,negative
557,1,1,0,1,0,negative
558,1,1,0,1,1,positive
559,1,1,0,1,1,positive
560,1,1,0,1,1,negative
561,1,1,0,1,1,negative
562,1,1,0,1,1,negative
563,1,0,0,1,1,negative
564,1,1,0,1,0,negative
565,1,1,0,1,1,negative
566,1,1,0,1,0,negative
567,1,1,0,1,1,negative
568,1,1,0,1,0,negative
569,0,1,0,1,0,negative
570,1,1,0,1,0,negative
571,1,0,0,1,1,negative
572,0,1,0,1,0,negative
573,0,1,0,1,0,negative
574,1,1,0,1,1,positive
575,1,1,0,1,1,negative
576,1,0,0,1,1,positive
577,0,1,0,1,1,negative
578,0,1,0,1,0,negative
579,0,1,0,1,1,positive
580,1,1,0,1,0,negative
581,1,0,0,1,1,negative
582,1,1,0,1,1,positive
583,0,1,0,1,1,negative
584,1,0,0,1,1,negative
585,1,1,0,1,0,negative
586,0,1,0,1,0,negative
587,1,0,0,1,1,negative
588,1,1,0,1,1,negative
589,1,0,0,1,1,negative
590,1,0,0,1,1,negative
591,1,0,0,1,1,negative
592,0,1,0,1,0,negative
593,1,1,0,1,1,negative
594,1,1,0,1,0,negative
595,1,1,0,1,1,positive
596,0,1,0,1,0,negative
597,1,1,0,1,1,positive
598,0,1,0,1,1,negative
599,1,0,0,1,1,negative
600,1,1,0,1,1,negative
601,1,1,0,1,0,negative
602,1,1,0,1,0,negative
603,1,1,0,1,0,negative
604,1,0,0,1,1,negative
605,1,1,0,1,1,negative
606,1,1,0,1,0,negative
607,1,1,0,1,0,positive
608,1,0,0,1,1,negative
609,1,0,0,1,1,negative
610,1,0,0,1,1,negative
611,1,0,0,1,1,positive
612,1,1,0,1,0,negative
613,1,1,0,1,1,negative
614,1,0,0,1,1,negative
615,0,1,0,1,1,negative
616,1,1,0,1,0,negative
617,1,0,0,1,1,negative
618,1,1,0,1,1,positive
619,1,1,0,1,1,negative
620,1,1,0,1,1,positive
621,1,0,0,1,1,negative
622,0,1,0,1,0,negative
623,1,1,0,1,1,negative
624,1,1,0,1,0,negative
625,1,0,0,1,1,negative
626,1,1,0,1,1,positive
627,1,0,0,1,1,negative
628,1,1,0,1,0,negative
629,0,1,0,1,1,negative
630,1,1,0,1,1,positive
631,1,1,0,1,1,positive
632,1,1,0,1,0,negative
633,1,1,0,1,0,positive
634,1,0,0,1,1,negative
635,1,1,0,1,1,negative
636,1,1,0,1,0,negative
637,1,1,0,1,1,negative
638,1,1,0,1,0,negative
639,1,1,0,1,0,negative
640,1,1,0,1,0,positive
641,1,1,0,1,1,negative
642,1,1,0,1,0,negative
643,1,1,0,1,0,negative
644,0,1,0,1,0,negative
645,1,0,0,1,1,positive
646,0,1,0,1,1,negative
647,1,1,0,1,1,negative
648,1,1,0,1,1,negative
649,1,1,0,1,0,negative
650,1,1,0,1,0,negative
651,1,1,0,1,0,negative
652,1,1,0,1,0,negative
653,1,1,0,1,0,negative
654,1,1,0,1,1,negative
655,1,0,0,1,1,negative
656,1,1,0,1,0,negative
657,0,1,0,1,1,negative
658,1,1,0,1,0,negative
659,1,1,0,1,1,positive
660,1,0,0,1,0,positive
661,1,1,0,1,0,negative
662,1,0,0,1,1,positive
663,1,1,0,1,0,negative
664,1,0,0,1,1,positive
665,1,1,0,1,1,positive
666,1,1,0,1,0,negative
667,1,1,0,1,1,positive
668,1,1,0,1,1,negative
669,1,0,0,1,0,negative
670,1,0,0,1,1,negative
671,1,0,0,1,1,negative
672,1,0,0,1,1,negative
673,0,1,0,1,1,negative
674,1,1,0,1,1,negative
675,1,0,0,1,1,negative
676,1,1,0,1,0,negative
677,1,0,0,1,1,positive
678,1,1,0,1,1,positive
679,1,1,0,1,0,negative
680,0,1,0,1,1,negative
681,1,1,0,1,0,negative
682,0,1,0,1,0,negative
683,1,1,0,1,0,negative
684,1,1,0,1,0,negative
685,0,1,0,1,0,negative
686,0,1,0,1,1,negative
687,0,1,0,1,1,positive
688,0,1,0,1,0,negative
689,1,1,0,1,1,negative
690,1,0,0,1,1,negative
691,1,1,0,1,0,negative
692,1,0,0,1,1,positive
693,0,1,0,1,0,negative
694,1,1,0,1,1,positive
695,1,1,0,1,0,negative
696,0,1,0,1,0,negative
697,1,0,0,1,1,positive
698,1,1,0,1,0,negative
699,0,1,0,1,1,negative
700,1,1,0,1,0,negative
701,0,1,0,1,1,negative
702,0,1,0,1,1,negative
703,1,0,0,1,1,negative
704,1,1,0,1,0,negative
705,1,1,0,1,1,negative
706,1,1,0,1,1,positive
707,1,0,0,1,1,negative
708,1,1,0,1,1,negative
709,1,0,0,1,1,negative
710,1,1,0,1,1,positive
711,1,1,0,1,0,negative
712,0,1,0,1,1,negative
713,1,1,0,1,0,negative
714,1,0,0,1,1,negative
715,0,1,0,1,1,positive
716,1,1,0,1,0,negative
717,1,0,0,1,1,negative
718,1,0,0,1,1,negative
719,0,1,0,1,1,negative
720,1,1,0,1,0,negative
721,1,1,0,1,1,positive
722,1,1,0,1,0,positive
723,1,1,0,1,0,negative
724,1,0,0,1,1,negative
725,0,1,0,1,1,negative
726,1,1,0,1,1,positive
727,1,1,0,1,0,negative
728,1,1,0,1,0,negative
729,1,1,0,1,1,positive
730,1,1,0,1,1,negative
731,1,1,0,1,1,negative
732,1,1,0,1,0,negative
733,1,0,0,1,1,positive
734,1,0,0,1,1,positive
735,1,1,0,1,0,negative
736,1,1,0,1,1,negative
737,0,1,0,1,0,positive
738,1,1,0,1,1,negative
739,1,1,0,1,0,negative
740,0,1,0,1,1,negative
741,1,1,0,1,0,negative
742,1,0,0,1,1,negative
743,0,1,0,1,1,negative
744,1,1,0,1,1,negative
745,1,1,0,1,1,positive
746,1,0,0,1,1,negative
747,1,1,0,1,0,negative
748,1,1,0,1,0,negative
749,1,1,0,1,0,negative
750,1,1,0,1,1,negative
751,1,1,0,1,0,negative
752,1,1,0,1,1,negative
753,1,1,0,1,1,positive
754,1,0,0,1,1,negative
755,1,0,0,1,1,negative
756,1,0,0,1,1,positive
757,1,1,0,1,1,positive
758,1,0,0,1,1,negative
759,1,1,0,1,1,positive
760,1,1,0,1,1,positive
761,1,1,0,1,0,negative
762,1,1,0,1,0,negative
763,1,0,0,1,1,positive
764,1,1,0,1,1,positive
765,0,1,0,1,0,negative
766,1,1,0,1,0,negative
767,0,1,0,1,1,positive
768,1,1,0,1,0,negative
769,1,0,0,1,1,negative
770,0,1,0,1,1,negative
771,1,0,0,1,1,positive
772,1,1,0,1,0,negative
773,1,1,0,1,0,negative
774,0,1,0,1,0,negative
775,1,1,0,1,0,negative
776,1,0,0,1,1,positive
777,1,1,0,1,1,positive
778,0,1,0,1,1,negative
779,1,0,0,1,1,positive
780,1,1,0,1,0,negative
781,1,0,0,1,1,negative
782,1,0,0,1,1,negative
783,1,1,0,1,1,negative
784,1,1,0,1,0,negative
785,1,1,0,1,1,negative
786,1,0,0,1,1,negative
787,1,1,0,1,0,negative
788,1,0,0,1,1,negative
789,0,1,0,1,0,negative
790,0,1,0,1,1,negative
791,1,1,0,1,1,negative
792,1,1,0,1,0,positive
793,1,1,0,1,1,positive
794,0,1,0,1,1,negative
795,1,1,0,1,0,negative
796,1,0,0,1,1,positive
797,0,1,0,1,1,negative
798,1,1,0,1,1,positive
799,1,1,0,1,0,positive
800,0,1,0,1,1,positive
801,0,1,0,1,1,negative
802,1,1,0,1,1,negative
803,1,0,0,1,1,negative
804,1,1,0,1,1,negative
805,1,1,0,1,1,negative
806,1,1,0,1,1,positive
807,1,1,0,1,1,positive
808,1,1,0,1,0,negative
809,1,1,0,1,1,positive
810,1,0,0,1,1,negative
811,1,1,0,1,0,negative
812,1,1,0,1,1,negative
813,1,1,0,1,0,negative
814,1,0,0,1,1,negative
815,1,1,0,1,0,negative
816,0,1,0,1,1,negative
817,1,1,0,1,0,positive
818,1,1,0,1,0,negative
819,1,1,0,1,1,negative
820,1,1,0,1,0,negative
821,1,1,0,1,1,positive
822,0,1,0,1,1,positive
823,0,1,0,1,0,negative
824,1,1,0,1,1,negative
825,0,1,0,1,1,negative
826,1,0,0,1,1,negative
827,1,1,0,1,0,negative
828,0,1,0,1,0,negative
829,1,1,0,1,1,negative
830,1,1,0,1,1,positive
831,1,1,0,1,1,positive
832,1,1,0,1,1,positive
833,1,0,0,1,1,negative
834,0,1,0,1,1,negative
835,0,1,0,1,1,negative
836,1,1,0,1,0,negative
837,1,1,0,1,0,negative
838,1,1,0,1,1,negative
839,1,1,0,1,1,negative
840,1,1,0,1,1,negative
841,0,1,0,1,1,negative
842,1,1,0,1,1,positive
843,0,1,0,1,1,negative
844,1,1,0,1,1,positive
845,0,1,0,1,1,negative
846,0,1,0,1,1,positive
847,1,1,0,1,0,negative
848,1,0,0,1,1,negative
849,1,1,0,1,0,negative
850,1,0,0,1,1,negative
851,0,1,0,1,0,negative
852,1,1,0,1,0,negative
853,1,1,0,1,0,negative
854,1,0,0,1,1,negative
855,1,1,0,1,0,negative
856,1,1,0,1,0,negative
857,0,1,0,1,0,negative
858,1,1,0,1,1,positive
859,1,1,0,1,1,positive
860,1,1,0,1,1,negative
861,1,1,0,1,1,positive
862,1,0,0,1,1,positive
863,1,1,0,1,0,negative
864,1,1,0,1,0,negative
865,0,1,0,1,1,negative
866,1,1,0,1,0,negative
867,0,1,0,1,0,negative
868,1,1,0,1,0,negative
869,0,1,0,1,0,negative
870,0,1,0,1,1,negative
871,1,1,0,1,0,negative
872,1,0,0,1,1,negative
873,1,1,0,1,0,negative
874,1,1,0,1,1,negative
875,1,1,0,1,0,negative
876,1,1,0,1,1,positive
877,1,0,0,1,1,positive
878,1,1,0,1,1,positive
879,1,1,0,1,1,negative
880,1,1,0,1,0,negative
881,0,1,0,1,1,negative
882,1,1,0,1,0,negative
883,1,1,0,1,0,negative
884,1,1,0,1,1,positive
885,0,1,0,1,1,positive
886,1,1,0,1,0,negative
887,1,0,0,1,1,negative
888,1,1,0,1,1,negative
889,1,1,0,1,1,positive
890,1,1,0,1,0,negative
891,1,0,0,1,1,negative
892,1,1,0,1,1,negative
893,0,1,0,1,1,negative
894,1,0,0,1,1,negative
895,1,1,0,1,1,negative
896,0,1,0,1,1,negative
897,1,1,0,1,1,positive
898,1,1,0,1,1,positive
899,1,1,0,1,0,negative
900,1,1,0,1,0,negative
901,0,1,0,1,1,negative
902,1,1,0,1,0,negative
903,1,1,0,1,1,negative
904,1,1,0,1,1,positive
905,1,0,0,1,1,negative
906,0,1,0,1,0,negative
907,1,0,0,1,1,negative
908,1,1,0,1,0,negative
909,1,1,0,1,1,negative
910,1,0,0,1,1,negative
911,1,1,0,1,1,positive
912,0,1,0,1,0,positive
913,1,1,0,1,1,positive
914,1,1,0,1,0,negative
915,1,1,0,1,0,positive
916,0,1,0,1,1,negative
917,1,0,0,1,1,negative
918,1,1,0,1,1,positive
919,1,1,0,1,0,negative
920,1,1,0,1,0,negative
921,1,1,0,1,0,negative
922,1,1,0,1,1,positive
923,1,1,0,1,1,positive
924,1,0,0,1,1,negative
925,1,1,0,1,1,negative
926,0,1,0,1,1,negative
927,1,1,0,1,0,negative
928,1,0,0,1,1,negative
