Interface-ID;IU-105;IU-106;IU-168;IU-370;IU-371;IU-374;IU-375;IU-508;Usability Indicator;
122;1;1;0;1;0;2;0;1;positive;
123;1;0;0;1;1;0;1;0;positive;
124;0;1;0;1;1;0;0;1;positive;
125;1;0;0;2;0;1;1;0;positive;
126;1;0;1;0;1;1;1;0;positive;
127;0;1;0;0;0;0;0;0;negative;
128;2;0;0;0;0;0;0;0;negative;
129;1;1;0;2;1;1;0;0;positive;
130;1;0;0;0;1;0;0;0;positive;
131;1;0;0;0;1;0;0;0;positive;
132;0;0;0;0;0;0;0;0;negative;
133;1;0;0;0;0;0;0;0;negative;
134;1;1;0;0;1;1;1;0;positive;
135;1;0;0;1;1;1;0;0;positive;
136;1;0;0;2;0;0;0;0;negative;
137;0;1;0;2;1;1;1;0;positive;
138;1;1;0;1;1;1;1;0;positive;
139;0;2;0;2;0;0;0;0;negative;
140;1;0;0;0;0;0;0;0;negative;
141;1;1;0;0;0;0;1;0;negative;
142;1;0;0;2;1;1;1;0;positive;
143;1;1;2;1;0;1;1;0;positive;
144;1;0;0;0;0;0;0;0;positive;
145;1;0;1;1;1;0;1;0;positive;
146;0;1;2;0;1;1;1;0;positive;
147;1;0;0;0;0;2;0;0;negative;
148;1;1;0;0;1;1;0;0;positive;
149;1;1;0;0;1;2;1;0;positive;
150;1;0;0;1;1;0;1;1;positive;
151;0;1;0;1;1;0;1;0;positive;
152;1;1;0;1;1;0;1;0;positive;
153;0;0;0;0;2;0;0;0;negative;
154;1;0;0;1;1;1;0;0;positive;
155;1;2;0;0;0;0;0;1;positive;
156;1;1;0;0;1;1;1;0;positive;
157;1;1;0;2;0;0;0;0;positive;
158;0;1;0;2;1;0;0;0;positive;
159;0;0;0;2;0;0;1;0;positive;
160;0;0;0;2;1;0;0;0;positive;
161;1;1;0;2;1;0;0;0;positive;
162;0;0;0;0;1;0;0;0;positive;
163;1;1;0;1;1;1;0;0;positive;
164;0;1;1;0;1;1;1;0;positive;
165;1;0;0;1;1;1;1;0;positive;
166;0;0;0;0;0;1;0;0;positive;
167;0;0;0;1;1;2;1;0;positive;
168;1;0;0;0;0;0;0;0;negative;
169;1;0;1;0;1;1;1;1;positive;
170;1;0;0;1;0;1;0;1;positive;
171;1;0;0;0;1;0;0;0;positive;
172;0;1;0;0;1;0;1;0;positive;
173;0;1;0;2;1;1;0;0;positive;
174;1;2;0;0;1;2;1;0;positive;
175;1;0;1;1;0;0;1;0;positive;
176;1;2;0;0;1;2;0;0;positive;
177;1;1;0;0;0;0;0;0;negative;
178;1;1;0;1;0;2;1;1;positive;
179;1;0;0;1;1;1;0;0;positive;
180;0;1;0;2;1;1;0;0;positive;
181;1;0;1;0;0;1;0;0;positive;
182;1;0;0;1;1;1;1;1;positive;
183;1;1;0;2;0;2;1;0;positive;
184;0;1;0;1;0;2;0;1;positive;
185;0;0;0;0;0;0;0;0;negative;
186;2;1;0;1;0;0;0;0;positive;
187;1;1;0;0;1;0;1;1;positive;
188;0;0;0;0;0;0;0;0;negative;
189;1;1;0;0;1;1;1;0;positive;
190;1;2;0;1;0;1;0;1;positive;
191;0;1;0;0;0;1;0;0;negative;
192;1;1;0;1;1;0;1;1;positive;
193;1;0;0;0;0;0;0;0;negative;
194;1;1;0;0;1;2;0;0;positive;
195;1;0;0;0;0;0;0;0;negative;
196;1;0;0;1;1;0;1;1;positive;
197;2;0;0;0;0;1;0;0;negative;
198;1;1;0;0;0;0;0;0;negative;
199;2;1;0;0;0;0;0;0;negative;
200;1;1;0;0;1;2;1;0;positive;
201;1;0;0;0;0;0;0;0;negative;
202;1;0;0;0;1;2;1;0;positive;
203;1;0;0;1;2;0;0;0;positive;
204;0;2;2;1;1;2;1;1;positive;
205;0;0;0;0;0;1;0;0;positive;
206;1;0;0;0;1;0;1;0;positive;
207;1;0;0;0;1;0;1;0;positive;
208;1;0;0;2;0;2;1;0;positive;
209;1;0;0;0;0;0;0;0;negative;
210;1;1;2;0;1;0;1;0;positive;
211;1;0;0;2;0;1;1;0;positive;
212;1;2;0;1;0;0;0;1;positive;
213;1;1;0;1;0;1;1;0;positive;
214;0;1;0;1;1;1;1;0;positive;
215;1;0;0;2;1;1;0;0;positive;
216;1;1;1;2;0;2;1;0;positive;
217;1;1;0;2;1;0;1;0;positive;
218;1;0;0;1;1;1;1;0;positive;
219;1;0;0;1;2;1;0;1;positive;
220;1;1;0;2;2;2;0;1;positive;
221;1;1;1;0;0;1;1;0;positive;
222;0;0;0;1;0;0;0;0;negative;
223;1;1;1;1;0;1;0;0;positive;
224;1;1;0;1;1;0;0;0;positive;
225;0;1;1;1;1;1;1;0;positive;
226;0;1;0;0;1;1;0;0;positive;
227;1;0;0;0;1;1;1;1;positive;
228;1;1;0;1;0;1;1;0;positive;
229;1;0;0;1;1;1;0;1;positive;
230;0;1;0;1;1;1;1;0;positive;
231;0;1;0;0;0;2;0;1;positive;
232;1;1;0;2;1;0;0;0;positive;
233;1;0;2;1;0;1;1;0;positive;
234;0;1;0;0;2;1;1;0;positive;
235;1;1;0;0;1;1;1;0;positive;
236;0;1;0;0;1;1;0;0;positive;
237;1;0;0;0;1;0;1;0;positive;
238;1;0;0;1;1;1;1;0;positive;
239;1;0;2;0;0;1;1;0;positive;
240;0;0;0;0;0;0;0;0;negative;
241;1;0;0;1;1;0;0;0;negative;
242;0;2;0;2;0;0;0;0;negative;
243;0;1;0;0;0;0;0;0;negative;
244;0;0;0;0;0;1;1;0;positive;
245;1;0;1;1;1;1;1;0;positive;
246;0;1;0;2;0;0;1;0;positive;
247;1;1;0;0;2;1;1;0;positive;
248;1;1;0;1;2;1;0;0;positive;
249;1;1;0;0;0;0;0;0;negative;
250;1;2;0;2;1;0;2;0;positive;
251;1;1;0;0;0;0;0;0;negative;
252;0;1;0;2;1;1;1;0;positive;
253;1;0;0;1;2;0;0;0;positive;
254;1;1;0;0;1;1;1;0;positive;
255;1;2;0;1;1;1;0;0;positive;
256;0;0;0;0;0;0;0;0;negative;
257;1;0;0;0;0;0;0;0;negative;
258;0;0;0;2;1;0;0;0;negative;
259;1;1;0;0;1;0;0;0;positive;
260;1;0;0;1;1;1;1;0;positive;
261;1;2;0;1;1;0;0;0;positive;
262;1;1;0;0;0;0;0;0;negative;
263;1;1;0;0;0;1;0;0;negative;
264;1;1;0;1;1;0;1;0;positive;
265;1;1;0;0;1;0;0;0;positive;
266;2;1;0;1;0;1;0;0;positive;
267;0;0;0;2;0;0;0;0;positive;
268;1;0;0;1;0;1;1;1;positive;
269;0;0;0;2;1;2;0;0;positive;
270;1;1;1;1;1;1;0;0;positive;
271;1;1;0;0;1;1;0;0;positive;
272;0;1;0;0;0;0;0;0;negative;
273;0;0;0;0;0;0;0;0;negative;
274;0;0;0;1;1;1;0;0;positive;
275;0;0;0;0;0;0;0;0;negative;
276;1;1;0;1;0;0;0;0;positive;
277;1;0;0;2;0;0;1;0;negative;
278;1;1;0;1;1;0;0;0;positive;
279;0;1;0;0;0;1;0;1;negative;
280;1;1;0;2;0;1;0;1;positive;
281;0;2;0;0;0;0;0;0;negative;
282;0;1;1;0;0;1;0;0;positive;
283;1;0;1;1;1;2;1;0;positive;
284;0;1;0;0;0;2;0;0;negative;
285;1;2;0;1;1;1;1;0;positive;
286;1;1;0;1;0;0;0;0;positive;
287;1;0;0;0;0;0;0;0;positive;
288;1;0;0;1;1;2;0;0;positive;
289;0;1;0;1;1;2;0;0;positive;
290;1;0;0;2;1;0;1;0;positive;
291;0;1;1;1;1;1;1;0;positive;
292;1;0;0;0;1;1;0;0;positive;
293;0;0;0;0;0;0;0;0;negative;
294;0;0;0;0;1;1;0;0;positive;
295;1;2;0;0;0;0;0;0;negative;
296;1;1;0;1;1;0;1;0;positive;
297;1;1;0;0;0;1;0;1;positive;
298;0;1;0;1;1;1;0;1;positive;
299;1;0;0;2;1;0;1;0;positive;
300;1;0;0;2;1;0;0;0;positive;
301;1;2;0;1;0;0;0;0;negative;
302;0;1;0;1;0;0;0;1;positive;
303;1;1;0;2;1;0;0;0;positive;
304;1;1;0;1;0;0;1;0;positive;
305;0;1;1;0;1;0;0;1;positive;
306;0;1;0;0;0;0;0;0;negative;
307;0;0;0;0;0;0;0;0;positive;
308;1;1;0;2;1;1;0;1;positive;
309;1;0;0;0;0;0;0;0;negative;
310;1;0;1;1;1;2;0;0;positive;
311;0;1;0;0;0;0;0;0;positive;
312;1;0;0;0;0;2;0;1;positive;
313;1;1;0;0;0;1;1;0;positive;
314;0;1;0;0;0;2;1;0;positive;
315;0;0;0;2;1;1;0;0;positive;
316;0;1;0;0;2;0;0;0;negative;
317;0;0;0;0;0;0;0;0;negative;
318;1;1;1;1;1;1;1;1;positive;
319;0;2;0;0;0;0;0;0;negative;
320;1;0;0;1;1;0;1;0;positive;
321;1;0;0;0;1;0;0;0;negative;
322;1;1;0;0;1;1;1;1;positive;
323;1;1;0;1;0;0;0;0;positive;
324;0;0;0;0;0;0;0;0;negative;
325;0;0;0;0;1;1;1;1;positive;
326;1;1;0;2;0;2;0;0;negative;
327;0;1;1;1;1;1;1;0;positive;
328;0;1;2;1;1;1;0;1;positive;
329;1;1;0;1;2;1;1;0;negative;
330;1;1;0;0;1;2;1;0;positive;
331;1;1;0;2;0;2;1;0;positive;
332;1;1;0;1;1;1;0;0;negative;
333;0;0;0;0;1;1;1;0;positive;
334;1;1;0;0;1;2;1;0;positive;
335;1;1;0;1;1;1;1;0;positive;
336;1;0;0;2;0;2;0;0;negative;
337;1;1;0;2;1;0;0;0;negative;
338;0;0;1;0;0;0;1;0;positive;
339;1;1;0;1;1;1;0;0;positive;
340;1;1;1;1;1;0;0;1;positive;
341;0;1;0;1;0;0;0;1;positive;
342;1;0;0;0;1;1;1;1;positive;
343;0;0;0;2;1;1;0;0;positive;
344;0;1;0;1;0;0;0;0;positive;
345;1;1;0;1;1;0;0;0;positive;
346;0;1;1;0;2;0;0;0;positive;
347;0;0;0;2;0;0;1;0;negative;
348;1;2;2;0;1;0;1;0;positive;
349;0;1;0;0;0;0;0;0;negative;
350;1;0;0;0;2;0;0;0;negative;
351;1;1;0;1;1;2;0;1;positive;
352;1;1;2;0;0;1;1;0;positive;
353;0;0;0;2;0;0;0;0;negative;
354;0;1;0;1;0;1;1;0;positive;
355;1;1;0;0;0;0;0;0;negative;
356;1;1;0;1;0;2;0;0;positive;
357;1;0;0;0;0;0;0;0;negative;
358;0;1;0;0;0;0;0;0;negative;
359;0;0;0;0;0;0;0;0;negative;
360;1;1;0;0;0;0;0;0;negative;
361;1;1;0;1;0;2;1;0;positive;
362;0;1;0;0;1;1;0;0;positive;
363;0;1;0;0;0;0;0;0;negative;
364;1;0;0;1;1;0;1;0;positive;
365;1;0;0;0;1;0;0;0;negative;
366;1;1;1;1;1;2;0;1;positive;
367;1;0;0;2;1;1;0;0;positive;
368;0;0;0;0;0;0;0;0;negative;
369;0;1;0;0;1;0;0;0;positive;
370;1;1;0;0;1;1;0;0;positive;
371;0;0;0;0;0;1;0;0;negative;
372;1;0;0;0;0;0;0;0;negative;
373;1;1;0;0;1;1;1;0;positive;
374;0;0;0;0;0;0;0;0;negative;
375;1;0;1;1;1;1;0;0;positive;
376;1;0;0;2;1;1;1;0;positive;
377;1;1;0;0;1;0;1;0;positive;
378;1;0;0;1;0;0;0;0;positive;
379;1;0;2;0;1;1;1;1;positive;
380;0;1;0;1;1;2;2;0;positive;
381;1;1;0;1;0;1;0;0;positive;
382;1;1;0;1;1;0;0;0;positive;
383;0;0;0;0;2;0;0;0;negative;
384;1;1;0;0;0;0;0;0;negative;
385;1;0;0;2;0;0;0;0;positive;
386;1;0;0;0;0;0;0;0;negative;
387;1;1;1;1;0;1;0;0;positive;
388;1;1;0;0;0;0;1;0;positive;
389;1;1;0;0;1;1;1;1;positive;
390;1;0;0;0;2;1;0;0;positive;
391;0;2;0;0;0;0;0;0;negative;
392;0;1;0;0;1;1;1;0;positive;
393;0;1;0;0;0;0;0;0;negative;
394;1;0;0;2;1;1;0;1;positive;
395;1;1;0;1;1;1;0;0;positive;
396;1;1;0;1;1;0;2;1;positive;
397;0;0;0;0;1;0;1;0;positive;
398;0;0;0;0;0;0;0;0;negative;
399;1;0;0;0;0;0;0;0;negative;
400;1;0;0;1;0;0;1;1;positive;
401;0;1;0;0;0;0;0;0;positive;
402;1;1;0;1;0;1;0;1;positive;
403;0;1;0;2;1;0;0;0;negative;
404;1;1;2;0;1;1;1;0;positive;
405;1;0;0;2;1;1;0;0;positive;
406;1;1;0;1;1;0;1;0;positive;
407;1;0;2;1;0;1;1;0;negative;
408;1;1;0;2;0;0;1;0;positive;
409;0;2;0;1;1;1;0;0;positive;
410;0;2;0;0;1;2;0;0;positive;
411;1;0;0;2;1;1;0;0;positive;
412;1;1;0;2;0;0;0;0;negative;
413;0;1;0;0;0;0;0;0;negative;
414;1;1;0;1;1;1;1;0;positive;
415;1;0;0;0;0;0;0;0;negative;
416;1;1;0;1;1;2;0;0;positive;
417;1;0;0;0;1;0;0;0;negative;
418;0;1;0;0;1;1;0;0;positive;
419;1;1;0;0;1;1;0;0;negative;
420;1;1;0;1;1;0;0;0;positive;
421;1;0;0;1;0;0;0;0;positive;
422;0;0;0;2;0;0;0;0;negative;
423;1;1;1;0;1;1;1;1;positive;
424;0;0;0;0;0;0;0;0;negative;
425;1;2;0;0;0;0;0;0;negative;
426;1;1;0;0;0;1;1;0;positive;
427;1;0;0;0;1;1;1;0;positive;
428;1;1;0;2;1;1;0;0;positive;
429;0;1;0;2;1;2;1;1;positive;
430;0;1;0;0;0;2;1;0;positive;
431;1;1;0;2;1;0;1;0;positive;
432;0;1;0;1;1;1;0;0;positive;
433;0;1;0;1;1;1;0;0;positive;
434;1;1;0;1;1;1;1;1;positive;
435;1;1;1;1;1;1;0;1;positive;
436;0;1;0;0;0;0;0;0;negative;
437;2;0;0;0;0;0;1;0;negative;
438;0;0;0;2;1;1;0;0;positive;
439;1;1;0;0;1;2;1;0;positive;
440;0;1;0;0;1;0;0;1;positive;
441;1;0;0;0;1;1;0;0;positive;
442;1;1;0;0;1;0;1;1;positive;
443;1;0;0;0;1;0;1;0;positive;
444;1;0;0;0;1;0;1;0;positive;
445;0;1;1;0;0;2;0;0;positive;
446;0;0;0;0;0;0;0;0;negative;
447;0;1;0;1;1;1;0;0;positive;
448;0;0;0;0;0;0;0;0;negative;
449;0;0;0;2;1;0;1;0;positive;
450;1;1;0;0;1;1;1;1;positive;
451;1;1;0;2;0;0;0;0;negative;
452;0;0;0;0;1;0;0;0;negative;
453;1;2;1;1;0;0;1;0;negative;
454;1;1;0;1;2;0;0;0;positive;
455;1;1;0;2;0;1;0;0;positive;
456;0;0;0;2;0;0;1;0;negative;
457;0;1;0;0;0;2;0;0;negative;
458;0;0;0;0;1;1;1;0;positive;
459;1;0;0;1;1;0;1;1;positive;
460;2;0;0;0;1;2;1;0;positive;
461;1;1;0;0;1;1;0;0;positive;
462;1;0;0;0;0;1;0;0;positive;
463;1;0;0;2;0;0;0;0;negative;
464;1;0;0;0;0;1;1;0;positive;
465;1;1;0;0;0;1;1;0;positive;
466;1;2;0;2;0;0;0;0;negative;
467;0;1;0;0;0;0;0;0;negative;
468;0;1;0;2;2;0;0;0;negative;
469;1;1;0;2;1;0;1;0;positive;
470;0;1;0;0;0;0;0;0;negative;
471;1;0;0;1;1;1;1;0;positive;
472;0;2;0;0;0;0;0;0;negative;
473;1;0;0;0;0;0;0;0;negative;
474;0;0;0;0;0;0;0;0;negative;
475;0;0;0;0;1;0;1;0;positive;
476;0;0;0;0;0;0;0;0;negative;
477;0;0;0;0;0;0;0;0;negative;
478;1;0;0;0;1;1;1;0;positive;
479;1;1;0;1;1;2;0;0;positive;
480;1;0;0;1;0;1;0;0;negative;
481;0;0;0;0;0;0;0;0;negative;
482;0;2;0;2;1;1;1;0;positive;
483;1;2;0;0;0;0;0;1;positive;
484;1;0;1;1;1;2;1;0;positive;
485;1;1;0;1;1;2;0;0;positive;
486;0;1;0;0;0;0;0;0;negative;
487;1;0;0;2;0;0;0;0;negative;
488;0;0;0;0;0;0;0;0;negative;
489;0;0;0;1;1;0;1;0;positive;
490;2;0;0;2;2;1;0;1;positive;
491;1;1;0;0;0;1;0;0;positive;
492;0;0;0;0;0;2;2;0;negative;
493;1;1;0;2;0;1;1;0;positive;
494;1;1;1;1;1;2;1;0;positive;
495;1;1;0;2;1;0;0;0;positive;
496;0;1;0;0;0;1;1;1;positive;
497;0;1;0;0;2;0;0;0;negative;
498;1;0;0;1;1;2;1;1;positive;
499;1;1;0;0;1;1;1;0;positive;
500;0;1;0;0;0;0;0;0;negative;
501;1;1;0;1;1;1;1;0;positive;
502;1;1;0;2;1;0;1;0;positive;
503;0;0;1;1;1;0;1;0;positive;
504;0;1;1;1;1;1;1;0;positive;
505;0;0;0;0;1;1;1;0;positive;
506;1;1;0;0;1;0;1;0;positive;
507;0;0;1;1;0;0;1;0;positive;
508;0;1;0;2;0;0;0;0;negative;
509;1;0;0;0;0;0;0;1;positive;
510;0;1;0;1;1;1;1;0;positive;
511;2;0;0;0;1;0;1;0;positive;
512;1;0;0;0;2;2;0;0;positive;
513;0;1;0;1;1;2;0;0;positive;
514;0;1;0;2;0;0;0;0;negative;
515;2;2;0;0;0;0;1;0;positive;
516;1;2;0;2;0;0;0;0;negative;
517;1;1;0;1;0;2;1;0;positive;
518;1;0;0;2;0;0;0;1;positive;
519;0;1;1;1;1;1;0;0;positive;
520;1;0;0;0;0;0;0;0;negative;
521;1;1;0;1;1;1;0;0;positive;
522;0;0;0;0;0;0;0;0;negative;
523;1;1;0;1;0;1;0;1;positive;
524;0;0;0;1;1;2;0;0;positive;
525;1;0;1;1;1;0;0;1;positive;
526;1;1;0;0;1;2;0;0;positive;
527;0;1;0;1;1;1;0;1;positive;
528;1;1;0;0;1;0;1;0;positive;
529;1;1;0;2;0;1;0;1;positive;
530;0;1;0;0;1;1;1;0;positive;
531;1;1;0;1;1;0;1;0;positive;
532;2;1;0;0;1;1;0;0;negative;
533;1;1;0;1;1;1;1;0;positive;
534;0;0;0;2;0;0;0;0;negative;
535;1;1;0;1;0;1;0;0;positive;
536;1;2;0;0;0;2;0;0;positive;
537;0;0;0;1;1;0;1;0;positive;
538;0;1;0;1;1;1;1;0;positive;
539;1;1;0;2;0;0;0;0;negative;
540;1;1;0;0;1;0;0;2;positive;
541;1;1;0;1;1;1;0;1;positive;
542;1;0;1;1;1;1;1;0;positive;
543;1;1;0;0;1;1;0;0;positive;
544;0;0;0;0;0;0;0;0;negative;
545;1;1;0;0;0;1;0;0;positive;
546;1;0;0;2;1;0;1;0;positive;
547;1;1;0;0;0;0;0;0;negative;
548;1;1;0;1;0;1;0;2;positive;
549;1;1;0;1;1;0;0;0;positive;
550;1;0;1;0;1;2;1;0;positive;
551;2;0;0;1;1;1;1;0;positive;
552;0;0;0;0;1;1;0;1;positive;
553;1;1;0;0;0;1;0;0;positive;
554;0;1;0;2;0;0;0;0;negative;
555;1;1;0;1;1;0;0;0;positive;
556;0;0;0;2;1;1;0;1;positive;
557;1;0;0;1;1;0;1;0;positive;
558;1;0;0;0;0;0;0;0;negative;
559;0;1;0;0;0;0;0;0;negative;
560;1;1;0;1;1;1;0;0;positive;
561;0;0;0;0;1;0;1;0;positive;
562;1;1;0;0;1;1;1;0;positive;
563;1;1;0;2;0;0;0;1;negative;
564;1;1;0;1;1;1;0;0;positive;
565;0;0;0;1;1;0;1;0;positive;
566;1;1;0;1;1;2;1;0;positive;
567;1;0;0;0;1;1;0;0;positive;
568;1;0;0;2;2;0;0;0;negative;
569;0;0;0;1;1;1;0;0;positive;
570;1;0;0;0;1;1;0;0;positive;
571;0;0;0;0;0;0;0;0;negative;
572;0;1;0;0;1;1;0;0;positive;
573;1;0;0;2;1;0;0;1;positive;
574;1;0;0;1;1;0;1;0;positive;
575;1;0;0;1;1;2;0;2;positive;
576;1;1;0;1;1;1;0;0;positive;
577;1;2;0;1;1;1;1;0;positive;
578;1;1;0;0;0;1;0;0;positive;
579;1;0;0;0;0;0;0;0;negative;
580;1;1;0;1;1;1;0;0;positive;
581;1;1;0;2;1;1;1;0;positive;
582;1;1;0;1;1;0;1;1;positive;
583;1;0;0;1;2;1;1;1;positive;
584;1;0;0;0;2;0;0;0;negative;
585;0;0;0;2;0;0;0;0;negative;
586;0;0;0;0;0;0;0;0;negative;
587;1;1;1;1;1;1;0;1;positive;
588;1;1;1;0;1;0;1;0;positive;
589;1;1;0;2;0;0;0;0;negative;
590;0;0;0;2;0;0;0;0;positive;
591;1;0;1;1;1;2;0;0;positive;
592;1;0;2;0;0;0;0;0;negative;
593;0;1;0;0;0;0;0;0;negative;
594;0;1;2;2;1;1;0;0;positive;
595;1;0;0;2;0;1;1;0;positive;
596;2;1;1;0;0;2;0;0;positive;
597;1;0;0;1;1;0;0;0;positive;
598;1;1;0;0;1;2;1;0;positive;
599;1;1;0;1;1;0;1;0;positive;
600;1;1;0;1;1;0;1;0;positive;
601;1;0;1;1;1;1;1;0;positive;
602;1;0;0;0;1;0;1;1;positive;
603;1;1;0;0;0;0;0;0;negative;
604;1;0;0;1;0;1;1;0;positive;
605;1;1;0;0;1;2;0;1;positive;
606;0;0;0;0;0;1;1;0;negative;
607;0;1;1;1;1;0;0;0;positive;
608;0;1;0;0;1;1;0;0;positive;
609;0;0;0;2;1;1;1;1;positive;
610;0;1;0;1;2;2;1;0;positive;
611;1;0;0;1;0;1;1;1;positive;
612;1;0;1;1;1;0;1;0;positive;
613;1;0;0;2;1;1;0;0;positive;
614;1;1;1;1;0;1;1;0;positive;
615;1;0;1;0;1;0;0;0;positive;
616;1;0;0;0;1;0;1;0;positive;
617;1;0;0;0;0;2;0;0;negative;
618;0;0;1;0;1;1;1;0;positive;
619;0;0;0;2;1;1;1;0;positive;
620;1;1;0;1;1;1;1;1;positive;
621;1;1;0;0;1;1;0;1;positive;
622;2;1;0;1;1;1;0;0;positive;
623;1;2;0;0;2;1;1;0;positive;
624;1;0;0;0;0;0;0;0;negative;
625;0;1;0;1;0;0;0;0;positive;
626;1;1;0;1;1;1;0;0;positive;
627;1;0;0;1;1;1;1;0;positive;
628;0;0;0;0;0;0;0;0;negative;
629;1;1;1;0;2;2;1;0;positive;
630;0;0;0;0;0;1;0;0;negative;
631;1;0;0;0;1;1;1;1;positive;
